nombre_proyecto,desarrolladora,ciudad,estado_republica,zona,tipo_desarrollo,tipo_unidades,rango_precios,num_unidades,fecha_entrega_estimada,etapa,url_fuente,portal_fuente,fecha_deteccion,notas,amenidades,descripcion,latitud,longitud,superficie_min_m2,superficie_max_m2,precio_min_mxn,imagen_url,telefono_contacto,email_contacto,sitio_web_proyecto,fecha_enriquecimiento,fuente_enriquecimiento,confianza_datos
Alcalde Mil,,Guadalajara,Jalisco,Moderna,Residencial,Departamentos,"Desde $2,727,000 MXN",,2027-Q1,Preventa,https://www.lahaus.mx/pd/guadalajara/alcalde-mil-torre-a,La Haus,2026-03-12,,"Coworking, Gym, Roof garden",,20.6655019,-103.3475067,46.0,46.0,,"https://media.lahaus.com/uploads/ims/asset/attachment/48827/fachada_desde_16_de_septiembre_2_.jpg?auto=compress,enhance,format",+5215593020561,,,2026-03-20,agente_enriquecimiento_v2,alta
Habitat Azul,,Guadalajara,Jalisco,Barrio Mexicaltzingo,Residencial,Departamentos,"Desde $1,937,000 MXN",,2026-Q2,Preventa,https://www.lahaus.mx/pd/guadalajara/habitat-azul,La Haus,2026-03-12,,"Fire pit, Lobby, Yoga",,20.6655019,-103.3475067,44.0,44.0,,"https://media.lahaus.com/uploads/ims/asset/attachment/49309/1_2_.jpeg?auto=compress,enhance,format",+5215593020561,,https://www.instagram.com/reel/DGyZ2NvP9ud/,2026-03-20,agente_enriquecimiento_v2,alta
Sándalo,,Guadalajara,Jalisco,Country Club,Residencial,Departamentos,"Desde $3,872,604 MXN",76,2027-Q2,Preventa,https://www.lahaus.mx/pd/guadalajara/sandalo-apartamento,La Haus,2026-03-12,,"Alberca, Gym, Yoga",,20.6998513,-103.3705052,55.0,55.0,,"https://media.lahaus.com/uploads/ims/asset/attachment/32674/06_2_.jpg?auto=compress,enhance,format",+5215593020561,,https://hominc.mx/propiedad/sandalo,2026-03-20,agente_enriquecimiento_v2,alta
Cassianova,,Guadalajara,Jalisco,Americana,Residencial,Departamentos,"Desde $3,681,290 MXN",102,2025-Q4,Preventa,https://www.lahaus.mx/pd/guadalajara/cassianova,La Haus,2026-03-12,,Spa,,20.6655019,-103.3475067,57.0,57.0,,"https://media.lahaus.com/uploads/ims/asset/attachment/53986/freepik__enhance__93586_2_.jpeg?auto=compress,enhance,format",+5215593020561,,https://hominc.mx/propiedad/cassianova,2026-03-20,agente_enriquecimiento_v2,alta
Argentina 824,,Guadalajara,Jalisco,Moderna,Residencial,Departamentos,"Desde $3,552,930 MXN",66,2025-Q4,Preventa,https://www.lahaus.mx/pd/guadalajara/argentina-824,La Haus,2026-03-12,,"Coworking, Gimnasio, Lobby",,20.6638372,-103.3633541,50.0,50.0,,"https://media.lahaus.com/uploads/ims/asset/attachment/48904/calle_argentina_v1_b(2).jpg?auto=compress,enhance,format",+5215593020561,,https://brixtars.com/argentina-824-departamentos-en-preventa-en-la-colonia-americana-2/,2026-03-20,agente_enriquecimiento_v2,alta
Punta Norte,,Guadalajara,Jalisco,Lomas de Independencia,Residencial,Departamentos,"Desde $2,175,000 MXN",336,2025-Q2,Preventa,https://www.lahaus.mx/pd/guadalajara/punta-norte-20250328,La Haus,2026-03-12,Desarrollo grande: 336 unidades,"Cancha, Elevador, Pet friendly",,20.6655019,-103.3475067,69.0,69.0,,"https://media.lahaus.com/uploads/ims/asset/attachment/48775/punta_norte_rgb_alta-4(2).jpg?auto=compress,enhance,format",+5215593020561,,https://propiedadesenmexico.com.mx/property/departamentos-punta-norte-guadalajara/,2026-03-20,agente_enriquecimiento_v2,alta
Kanva Reforma,,Guadalajara,Jalisco,Ladrón de Guevara,Residencial,Departamentos,"Desde $2,455,000 MXN",,2026-Q4,Preventa,https://www.lahaus.mx/pd/guadalajara/kanva-reforma,La Haus,2026-03-12,,"Lobby, Pet friendly, Rooftop",,20.6805888,-103.3711459,36.0,36.0,,"https://media.lahaus.com/uploads/ims/asset/attachment/49703/2(2).jpeg?auto=compress,enhance,format",+5215593020561,,https://www.pincali.com/en/home/kanva-reforma-santa-teresita,2026-03-20,agente_enriquecimiento_v2,alta
Torre 12,,Guadalajara,Jalisco,Arcos Vallarta,Residencial,Departamentos,"Desde $2,968,530 MXN",,2027-Q3,Preventa,https://www.lahaus.mx/pd/guadalajara/torre-12,La Haus,2026-03-12,,,,20.6752747,-103.3804435,56.0,56.0,,"https://media.lahaus.com/uploads/ims/asset/attachment/34404/torre_xii_doce_morelos_-_brochure_pagina_04_imagen_0001(2).jpg?auto=compress,enhance,format",+5215593020561,,http://torremorelos.com/,2026-03-20,agente_enriquecimiento_v2,alta
TORRE PUNTO,en Amazon,Guadalajara,Jalisco,Providencia,Residencial Plus,Departamentos,"Desde $4,311,000 MXN",44,2025-Q4,Preventa,https://www.lahaus.mx/pd/guadalajara/torre-punto,La Haus,2026-03-12,,"Alberca, Coworking, Gimnasio, Lobby",,20.6655019,-103.3475067,50.0,50.0,,"https://media.lahaus.com/uploads/ims/asset/attachment/27202/img5(2).jpg?auto=compress,enhance,format",+5215593020561,,https://www.nestyn.com/proyectos/guadalajara-providencia-jalisco-torre-punto,2026-03-20,agente_enriquecimiento_v2,alta
Giralda Vertical,,Zapopan,Jalisco,La Giralda,Residencial,Departamentos,"Desde $2,818,000 MXN",57,2027-Q2,Preventa,https://www.lahaus.mx/pd/zapopan/giralda-vertical,La Haus,2026-03-12,,"Asador, Gym, Lobby",,20.6423814,-103.4043207,46.0,46.0,,"https://media.lahaus.com/uploads/ims/asset/attachment/49543/2(2).jpg?auto=compress,enhance,format",+5215593020561,,https://www.rioble.com/property/giralda-vertical,2026-03-20,agente_enriquecimiento_v2,alta
